sub_section_name,is_relevant,section_name,main_section
Transfer Rehab Grid,Yes,Progress Quick Note,Progress Note
Ambulation Rehab Grid,Yes,Progress Quick Note,Progress Note
Treatment Log,Yes,Progress Quick Note,Progress Note
DC Recommendations,Yes,Progress Quick Note,Progress Note
Education,Yes,Progress Quick Note,Progress Note
OT Pail ent/Famlly Goals,Yes,Progress Quick Note,Progress Note
Lona Term OT Goals Grid,Yes,Progress Quick Note,Progress Note
Plan Review,Yes,Progress Quick Note,Progress Note
Prior Functional Level Grid,Yes,Progress Quick Note,Progress Note
Functional Mobility,Yes,Progress Quick Note,Progress Note
Transfers OT,Yes,Progress Quick Note,Progress Note
Course / Events,Yes,Progress Quick Note,Progress Note
Clinical Discussion,Yes,Progress Quick Note,Progress Note
Reason for Visit:,Yes,Progress Quick Note,Progress Note
HISTORY OF PRESENT ILLNES,Yes,Progress Quick Note,Progress Note
DIAGNOSTIC STUDIES,Yes,Progress Quick Note,Progress Note
Intake/Output,Yes,Progress Quick Note,Progress Note
Patient Information,Yes,Progress Quick Note,Progress Note
Instructions to Medical Records,Yes,Progress Quick Note,Progress Note
Diagnostic Results,Yes,Progress Quick Note,Progress Note
Hospital Course,Yes,Progress Quick Note,Progress Note
Review of Systems,Yes,Progress Quick Note,Progress Note
Family Updates,Yes,Progress Quick Note,Progress Note
Quality Improvement,Yes,Progress Quick Note,Progress Note
Data/Imaging,Yes,Progress Quick Note,Progress Note
IMPRESSION,Yes,Progress Quick Note,Progress Note
TREATMENT PLAN,Yes,Progress Quick Note,Progress Note
COVID-19 Strategies Deployed,Yes,Progress Quick Note,Progress Note
Capsule Summary,No,Progress Quick Note,Progress Note
ON Events,No,Progress Quick Note,Progress Note
Acute Problems,Yes,Progress Quick Note,Progress Note
Radiology data,No,Progress Quick Note,Progress Note
"Diagnosis, Assessment & Plan",Yes,Progress Quick Note,Progress Note
Recommendation:,Yes,Progress Quick Note,Progress Note
HPI Summary,Yes,Progress Quick Note,Progress Note
Past Medical/Surgical/Family History,Yes,Progress Quick Note,Progress Note
Social,Yes,Progress Quick Note,Progress Note
LAB RESULTS,No,Progress Quick Note,Progress Note
Results,No,Progress Quick Note,Progress Note
Wound Assessment,Yes,Progress Quick Note,Progress Note
Other Notes,Yes,Progress Quick Note,Progress Note
perfusion record,Yes,Progress Quick Note,Progress Note
Brief historical review,Yes,Progress Quick Note,Progress Note
Procedure/operative data,Yes,Progress Quick Note,Progress Note
Recent Labs,No,Progress Quick Note,Progress Note
Brief history review,Yes,Progress Quick Note,Progress Note
Results Review,Yes,Progress Quick Note,Progress Note
O/E,Yes,Progress Quick Note,Progress Note
A/P,Yes,Progress Quick Note,Progress Note
History of Present Illness/Subjective,Yes,Progress Quick Note,Progress Note
Physical Exam/Objective,Yes,Progress Quick Note,Progress Note
Procedure/Surgical History,Yes,Progress Quick Note,Progress Note
INPATIENT MEDICATIONS,Yes,Progress Quick Note,Progress Note
LABORATORIES,Yes,Progress Quick Note,Progress Note
PHYSICIAN COVID ASSESSMENT,Yes,Progress Quick Note,Progress Note
Patient Active Problem List,Yes,Progress Quick Note,Progress Note
Intake/Ouput,Yes,Progress Quick Note,Progress Note
OBJECTIVE/PHYSICAL EXAMINATION,Yes,Progress Quick Note,Progress Note
LABORATORY EXAMINATION,No,Progress Quick Note,Progress Note
Narrative,Yes,Progress Quick Note,Progress Note
Imaging studies,No,Progress Quick Note,Progress Note
Neurosurgery,Yes,Progress Quick Note,Progress Note
Interventions,Yes,Progress Quick Note,Progress Note
Monitoring and Evaluation:,Yes,Progress Quick Note,Progress Note
Historyof PresentIllness,Yes,Progress Quick Note,Progress Note
Daily subjective,Yes,Progress Quick Note,Progress Note
Anti-Coagulant Medications,Yes,Progress Quick Note,Progress Note
HPI / Subjective,Yes,Progress Quick Note,Progress Note
Active Medications,Yes,Progress Quick Note,Progress Note
CURRENT MEDICATION,Yes,Progress Quick Note,Progress Note
Surgical history,Yes,Progress Quick Note,Progress Note
HISTORY AND INDICATIONS FOR ADMISSION,Yes,Progress Quick Note,Progress Note
HOSPITAL COURSE: Th,Yes,Progress Quick Note,Progress Note
HISTORY OF PRESENT ILLNESS: The p,Yes,Progress Quick Note,Progress Note
EXAMINATION,Yes,Progress Quick Note,Progress Note
Food & Nutrient Delivery,Yes,Progress Quick Note,Progress Note
Medications (33) Active,Yes,Progress Quick Note,Progress Note
Radiology,Yes,Progress Quick Note,Progress Note
Surgical Plan of Care Note,Yes,Progress Quick Note,Progress Note
Active problems,Yes,Progress Quick Note,Progress Note
Allergeis,Yes,Progress Quick Note,Progress Note
Interval hx,Yes,Progress Quick Note,Progress Note
Objective,Yes,Progress Quick Note,Progress Note
Pulmonology Progress Note,Yes,Progress Quick Note,Progress Note
Medications (32) Active,Yes,Progress Quick Note,Progress Note
History Obtained from chart,Yes,Progress Quick Note,Progress Note
PMH,Yes,Progress Quick Note,Progress Note
Lines/tubes/airways,Yes,Progress Quick Note,Progress Note
Summary Note,Yes,Progress Quick Note,Progress Note
Diagnoses,Yes,Progress Quick Note,Progress Note
free Text Subj Notes,Yes,Progress Quick Note,Progress Note
Data Review,Yes,Progress Quick Note,Progress Note
Assessment & Recommendations,Yes,Progress Quick Note,Progress Note
Plan/summary,Yes,Progress Quick Note,Progress Note
SUBJECTIVE | INTERVAL EVENTS,Yes,Progress Quick Note,Progress Note
INTAKE & OUTPUT,Yes,Progress Quick Note,Progress Note
DAILY EXAMINATION,Yes,Progress Quick Note,Progress Note
IMAGING / STUDIES:,No,Progress Quick Note,Progress Note
MICROBIOLOGY / PATHOLOGY,No,Progress Quick Note,Progress Note
CURRENT INPATIENT MEDICATION LIST,Yes,Progress Quick Note,Progress Note
ANTICIPATED DISPOSITION PLANNING,Yes,Progress Quick Note,Progress Note
Indication,Yes,Progress Quick Note,Progress Note
Medication,Yes,Progress Quick Note,Progress Note
Findings,Yes,Progress Quick Note,Progress Note
Continuous,Yes,Progress Quick Note,Progress Note
General,Yes,Progress Quick Note,Progress Note
Diet Orders,Yes,Progress Quick Note,Progress Note
NUTRITION INTERVENTION,Yes,Progress Quick Note,Progress Note
INPUT/OUTPUT,Yes,Progress Quick Note,Progress Note
PROBLEM LIST PLAN,Yes,Progress Quick Note,Progress Note
Midlevel/Physician Attestation,Yes,Progress Quick Note,Progress Note
HOSPITALIST PROGRESS NOTE,Yes,Progress Quick Note,Progress Note
DIAGNOSTIC DATA,Yes,Progress Quick Note,Progress Note
Addendum,No,Progress Quick Note,Progress Note
Objective/ Exam,Yes,Progress Quick Note,Progress Note
Critical Care - PN: Subj,Yes,Progress Quick Note,Progress Note
Critical Care - PN: Exam,Yes,Progress Quick Note,Progress Note
Laboratory Results,No,Progress Quick Note,Progress Note
ABG results,No,Progress Quick Note,Progress Note
Critical Care - Pit A/P,Yes,Progress Quick Note,Progress Note
Diagnostics - Non-Radiology,Yes,Progress Quick Note,Progress Note
Medications (36) Active,Yes,Progress Quick Note,Progress Note
Diagnostics - Non-Radiology - Last 36 hours (0),No,Progress Quick Note,Progress Note
PROBLEM LIST PLAN:,Yes,Progress Quick Note,Progress Note
SUBJECTIVE & PLAN,Yes,Progress Quick Note,Progress Note
ASSESSMENT/PROBLEM LIST,Yes,Progress Quick Note,Progress Note
Pre-operative Diagnosis,Yes,Progress Quick Note,Progress Note
Post-operative Diagnosis,Yes,Progress Quick Note,Progress Note
Indications for Surgery/Procedure,Yes,Progress Quick Note,Progress Note
Primary Surgeon,Yes,Progress Quick Note,Progress Note
Type of Anesthesia,Yes,Progress Quick Note,Progress Note
Description of Findings,Yes,Progress Quick Note,Progress Note
Technical/Surgical Procedures Used,Yes,Progress Quick Note,Progress Note
Specimens/Tissue Removed:,Yes,Progress Quick Note,Progress Note
Estimated Blood Loss,Yes,Progress Quick Note,Progress Note
Complications,Yes,Progress Quick Note,Progress Note
Attending physician attestation,Yes,Progress Quick Note,Progress Note
Neuro Exam,Yes,Progress Quick Note,Progress Note
Neuro ICU Attending Note,Yes,Progress Quick Note,Progress Note
24 HR EVENTS/SUBJECTIVE,Yes,Progress Quick Note,Progress Note
Identified resources for coping,Yes,Progress Quick Note,Progress Note
Interventions offered during this visit,Yes,Progress Quick Note,Progress Note
Plan of Care,Yes,Progress Quick Note,Progress Note
Exams,Yes,Progress Quick Note,Progress Note
Lab Review,Yes,Progress Quick Note,Progress Note
24Hour Summary,Yes,Progress Quick Note,Progress Note
Allergies/Intolerances,Yes,Progress Quick Note,Progress Note
Objective Data,Yes,Progress Quick Note,Progress Note
Problems/Assessments/Plan,Yes,Progress Quick Note,Progress Note
Lines/Drains/Tubes/Devices,Yes,Progress Quick Note,Progress Note
Allergies/Intolerance,Yes,Progress Quick Note,Progress Note
Daily plan,Yes,Progress Quick Note,Progress Note
Current Respiratory Orders,Yes,Progress Quick Note,Progress Note
Respiratory Plan/Comments,Yes,Progress Quick Note,Progress Note
A&P Subsequent,Yes,Progress Quick Note,Progress Note
Procedures & Date,Yes,Progress Quick Note,Progress Note
Assessment/Plan/Recommendations:,Yes,Progress Quick Note,Progress Note
Reason for Continued Hospitalization,Yes,Progress Quick Note,Progress Note
CONSULT REASON,Yes,Progress Quick Note,Progress Note
RELEVANT MEDS / DIET ORDERS,Yes,Progress Quick Note,Progress Note
Review of Systems/Medical History,Yes,Progress Quick Note,Progress Note
Anesthesia Pre-Evaluation,Yes,Progress Quick Note,Progress Note
Art Line,Yes,Progress Quick Note,Progress Note
History - Adult longitudinal,Yes,Progress Quick Note,Progress Note
Free Text A&P,Yes,Progress Quick Note,Progress Note
CARDIAC CATHETERIZATION REPORT,Yes,Progress Quick Note,Progress Note
HISTORY AND INDICATION,Yes,Progress Quick Note,Progress Note
PROCEDURES PERFORMED,Yes,Progress Quick Note,Progress Note
HEMODYNAMICS,Yes,Progress Quick Note,Progress Note
FINAL IMPRESSION,Yes,Progress Quick Note,Progress Note
CONCLUSIONS SUMMARY,Yes,Progress Quick Note,Progress Note
General Information,Yes,Progress Quick Note,Progress Note
Physician Information,Yes,Progress Quick Note,Progress Note
Advance Directives,Yes,Progress Quick Note,Progress Note
Discharge Planning Screen,Yes,Progress Quick Note,Progress Note
24 Hour Summary,Yes,Progress Quick Note,Progress Note
LABORATORY STUDIES,Yes,Progress Quick Note,Progress Note
Chief complaint on admission,Yes,Progress Quick Note,Progress Note
Review ofsymptom,Yes,Progress Quick Note,Progress Note
Problems,Yes,Progress Quick Note,Progress Note
Patient Narrative,Yes,Progress Quick Note,Progress Note
Reason for ICU Admission/ Perioperative Course,Yes,Progress Quick Note,Progress Note
Objective Data and Assessment,Yes,Progress Quick Note,Progress Note
Lab Results,Yes,Progress Quick Note,Progress Note
Recent Labs,Yes,Progress Quick Note,Progress Note
Hospital Course,Yes,Progress/Discharge Note OT,Progress Note
Allergies,Yes,Progress/Discharge Note OT,Discharge Summary
Discharge Diagnosis,Yes,Progress/Discharge Note PT,Progress Note
Subjective,Yes,Progress/Discharge Note PT,Progress Note
Physical Examination,Yes,Progress/Discharge Note PT,Discharge Summary
Health Status,Yes,Progress/Discharge Note PT,Discharge Summary
Subjective,Yes,Provider - Admitting Notes_History and Physical,History & Physical
Ros,Yes,Provider - Consult Notes,CONSULTATION REPORT
Medications,Yes,Provider - Discharge Notes,Discharge Summary
PROCEDURE,Yes,Provider - Progress Notes,Progress Note
History,Yes,pulmonary and critical care consult note,CONSULTATION REPORT
DIET,No,PULMONARY CRITICAL CARE,Progress Note
 History of Present Illness,Yes,Pulmonology Consult,CONSULTATION REPORT
Interval History,Yes,Pulmonology Progress Note,Progress Note
SUBJECTIVE - MEDICINE,Yes,Pulmonology Progress Note,Progress Note
Indication,Yes,Radiology,MISC
Infectious Disease,Yes,Radiology,MISC
Assessment/plan,Yes,REHAB CONSULT NOTE,CONSULTATION REPORT
PATIENT IDENTIFICATION,Yes,RENAL PROGRESS NOTE,Progress Note
Specimens,Yes,RE-OP/OSU ASSESSMENTS,OPERATIVE REPORT
TRANSFER - OUT REPORT,Yes,Report of operation,OPERATIVE REPORT
URINALYSIS WITH REFLEX CULTURE,Yes,Results,MISC
CBC WITH DIFFERENTIAL,Yes,Results,MISC
URINALYSIS WITH REFLEX MICROSCOPIC,Yes,Results,MISC
CBC WITHOUT DIFFERENTIAL,Yes,Results,MISC
CBC WITH DIFF,Yes,Results,MISC
CBC,Yes,Results,MISC
Urinalysis with Possible Microscopy and Possible Culture,Yes,Results,MISC
RADIOLOGY AND DIAGNOSTIC,Yes,Social Work Progress Notes,Progress Note
Assessment,Yes,Spiritual Care Assessment/Progress Note,Progress Note
Review of Systems,Yes,STERN CARDIOVASCULAR ICU PROGRESS NOTE,Progress Note
Home Medications,Yes,Summary Discharge Report*,Discharge Summary
Arterial Line,Yes,Surgery - Anesthesia_Sedation Records,Anesthesia Reports
Procedure Performed,Yes,Surgery - Operative Records,OPERATIVE REPORT
Surgeon,Yes,Surgery - Peri-Operative Records,OPERATIVE REPORT
DESCRIPTION OF PROCEDURE,Yes,Table of Contents,Progress Note
CLOSURE OF THE WOUND,Yes,Transesophageal Echocardiogram,OPERATIVE REPORT
Social History and Habits,Yes,TRAUMA HISTORY AND PHYSICAL,History & Physical
Objective:,Yes,USF Internal Medicine Progress Note,Progress Note
HPI:,Yes,Wound Care Progress Note,Progress Note
